"Plot_Number","Rice_Cultivar","Experiment_Name","Plot_Center","Seeding_Rate","Nitrogen_Rate","Replicate","Yield","Emergence_Date_DOY","Heading_25","Heading_50","Heading_100","Final_Lodge"
33761,"IAC600","Tiara","9' 9""""",112,75,1,6.002350469,140,NA,64,66,0
33762,"Tiara","Tiara","16' 3""""",78,75,1,5.922051466,140,NA,66,71,0
33763,"Sierra","Tiara","16' 3""""",112,75,1,8.331021553,140,76,78,83,0
33764,"Scarlett","Tiara","9' 9""""",78,75,1,10.56505453,140,74,76,79,0
33765,"Tiara","Tiara","9' 9""""",112,75,1,6.693495458,140,NA,68,70,0
33766,"IAC600","Tiara","16' 3""""",78,75,1,5.385768839,140,NA,64,67,0
33767,"Scarlett","Tiara","16' 3""""",112,75,1,11.17303269,140,74,76,79,0
33768,"Sierra","Tiara","9' 9""""",78,75,1,9.526903133,140,78,81,84,0
33769,"IAC600","Tiara","9' 9""""",78,75,2,5.514820808,140,NA,64,66,0
33770,"Sierra","Tiara","16' 3""""",78,75,2,8.606332421,140,79,81,84,0
33771,"IAC600","Tiara","16' 3""""",112,75,2,6.240379656,140,NA,63,65,0
33772,"Scarlett","Tiara","9' 9""""",112,75,2,11.62041285,140,73,75,78,0
33773,"Tiara","Tiara","9' 9""""",112,75,2,6.636139027,140,NA,68,70,0
33774,"Sierra","Tiara","16' 3""""",112,75,2,8.356831947,140,78,80,84,0
33775,"Tiara","Tiara","16' 3""""",78,75,2,6.294868265,140,NA,68,70,0
33776,"Scarlett","Tiara","9' 9""""",78,75,2,11.21318219,140,74,76,79,0
33777,"Tiara","Tiara","9' 9""""",112,75,3,6.613196455,140,NA,68,70,0
33778,"Sierra","Tiara","16' 3""""",78,75,3,7.10932958,140,78,80,84,0
33779,"IAC600","Tiara","16' 3""""",112,75,3,6.30347173,140,NA,63,66,0
33780,"Sierra","Tiara","9' 9""""",112,75,3,10.35570356,140,77,79,83,0
33781,"Tiara","Tiara","9' 9""""",78,75,3,6.168684118,140,NA,68,71,0
33782,"Scarlett","Tiara","16' 3""""",78,75,3,11.0812624,140,74,76,78,0
33783,"IAC600","Tiara","16' 3""""",78,75,3,5.334148051,140,NA,64,67,0
33784,"Scarlett","Tiara","9' 9""""",112,75,3,10.73999164,140,74,76,79,0
33785,"Tiara","Tiara","29' 3""""",78,150,1,7.115065223,140,72,73,75,0
33786,"IAC600","Tiara","35' 9""""",112,150,1,6.274793514,140,NA,65,67,0
33787,"Sierra","Tiara","35' 9""""",112,150,1,8.084388902,140,84,86,88,0
33788,"IAC600","Tiara","29' 3""""",78,150,1,6.363695982,140,NA,66,69,0
33789,"Scarlett","Tiara","29' 3""""",112,150,1,11.50569999,140,82,84,86,0
33790,"Scarlett","Tiara","35' 9""""",78,150,1,11.44834356,140,81,83,84,0
33791,"Sierra","Tiara","35' 9""""",78,150,1,8.758326962,140,83,85,88,0
33792,"Tiara","Tiara","29' 3""""",112,150,1,6.854093464,140,71,73,74,0
33793,"Scarlett","Tiara","29' 3""""",112,150,2,12.30869002,140,79,81,83,0
33794,"Tiara","Tiara","35' 9""""",112,150,2,7.642744386,140,69,70,72,0
33795,"IAC600","Tiara","35' 9""""",112,150,2,6.871300393,140,NA,65,67,0
33796,"Sierra","Tiara","29' 3""""",78,150,2,8.540372525,140,83,85,88,0
33797,"Sierra","Tiara","29' 3""""",112,150,2,8.537504704,140,83,85,88,0
33798,"IAC600","Tiara","35' 9""""",78,150,2,6.79100139,140,NA,66,69,0
