"Plot_Number","Rice_Cultivar","Experiment_Name","Plot_Center","Seeding_Rate","Nitrogen_Rate","Replicate","Yield","Emergence_Date_DOY","Heading_50","Heading_100","Final_Lodge"
31820,"Teqing","Mini_Core","16'3""""",122,130,1,NA,132,92,95,70
31821,"Doble Carolina","Mini_Core","22'9""""",122,130,1,NA,132,95,98,100
31822,"Red Khosha Cerma","Mini_Core","29'3""""",122,130,1,NA,132,84,87,100
31823,"EMBRAPA 1200","Mini_Core","29'3""""",122,130,1,5.203088607,132,87,90,0
31824,"PATNAI 6","Mini_Core","22'9""""",122,130,1,NA,132,92,94,80
31825,"M-202","Mini_Core","16'3""""",122,130,1,7.284553476,132,79,82,0
31826,"ECIA76-S89-1","Mini_Core","16'3""""",122,130,1,NA,132,89,91,60
31827,"Gasym Hany","Mini_Core","22'9""""",122,130,1,NA,132,68,70,100
31828,"WAB462-10-3-1","Mini_Core","29'3""""",122,130,1,3.382021934,132,80,82,0
31829,"RT7521FP","Mini_Core","29'3""""",122,130,1,18.47163849,132,83,86,0
31830,"Bombilla","Mini_Core","22'9""""",122,130,1,NA,132,74,76,60
31831,"Jefferson","Mini_Core","16'3""""",122,130,1,6.503932455,132,77,79,0
31832,"EMBRAPA 1200","Mini_Core","16'3""""",122,130,2,7.024155281,132,88,91,0
31833,"RT7521FP","Mini_Core","22'9""""",122,130,2,18.47163849,132,83,86,0
31834,"PATNAI 6","Mini_Core","29'3""""",122,130,2,NA,132,92,94,90
31835,"Jefferson","Mini_Core","29'3""""",122,130,2,6.764043868,132,78,80,0
31836,"Red Khosha Cerma","Mini_Core","22'9""""",122,130,2,NA,132,85,87,100
31837,"ECIA76-S89-1","Mini_Core","16'3""""",122,130,2,NA,132,91,93,85
31838,"Teqing","Mini_Core","16'3""""",122,130,2,NA,132,88,91,80
31839,"M-202","Mini_Core","22'9""""",122,130,2,1.950978989,132,79,81,0
31840,"Gasym Hany","Mini_Core","29'3""""",122,130,2,NA,132,69,71,100
31841,"Doble Carolina","Mini_Core","29'3""""",122,130,2,NA,132,93,95,100
31842,"Bombilla","Mini_Core","22'9""""",122,130,2,NA,132,73,76,95
31843,"WAB462-10-3-1","Mini_Core","16'3""""",122,130,2,3.382021934,132,80,82,0
31844,"WAB462-10-3-1","Mini_Core","16'3""""",122,130,3,3.121910521,132,80,82,0
31845,"Red Khosha Cerma","Mini_Core","22'9""""",122,130,3,NA,132,85,87,95
31846,"PATNAI 6","Mini_Core","29'3""""",122,130,3,NA,132,92,94,90
31847,"EMBRAPA 1200","Mini_Core","29'3""""",122,130,3,5.46320002,132,88,91,0
31848,"Gasym Hany","Mini_Core","22'9""""",122,130,3,NA,132,69,71,100
31849,"Teqing","Mini_Core","16'3""""",122,130,3,NA,132,88,91,60
31850,"RT7521FP","Mini_Core","16'3""""",122,130,3,16.65028504,132,84,86,0
31851,"Doble Carolina","Mini_Core","22'9""""",122,130,3,NA,132,93,95,100
31852,"Jefferson","Mini_Core","29'3""""",122,130,3,5.983709629,132,78,80,0
31853,"ECIA76-S89-1","Mini_Core","29'3""""",122,130,3,NA,132,90,93,75
31854,"M-202","Mini_Core","22'9""""",122,130,3,8.064887715,132,79,81,0
31855,"Bombilla","Mini_Core","16'3""""",122,130,3,NA,132,74,76,80
31856,"Jefferson","Mini_Core","16'3""""",122,130,4,9.10562015,132,78,80,0
31857,"Gasym Hany","Mini_Core","22'9""""",122,130,4,NA,132,69,71,95
