study_id,citation_short,crop_tier,growth_stage,water_regime,variety_cultivar,frequency_hz,spl_db,spl_db_known,hours_per_day,total_days,speaker_distance_m,sound_type,outcome_name,outcome_unit,control_value,treatment_value,calculated_effect_size_pct,reported_effect_size,p_value,significance_reported,usable_for_calibration,completeness_class,confidence_weight,data_verified,kpi_category,source_file,source_pages,notes
Jeong2008_50Hz,Jeong et al. 2008,rice,seedling,normal_irrigation,rice,50.0,67.5,yes,1.0,1.0,,pure_tone,gene_expression,relative,,,,>0,0.05,yes,no,partial,medium,verified_pdf,GENE_EXPRESSION,PMC7671032,,Midpoint 67.5 dB. Altered gene expression at low freq; overlaps mechanotransduction window.
Bochu2003_200Hz_106dB,Bochu et al. 2003,rice,germination,well_watered,paddy_rice,200.0,106.0,yes,0.5,2.0,,pure_tone,plant_height_stem,cm,33.7,35.2,4.5,,0.05,yes,yes,partial,medium,verified_pdf,VIGOR,S0927776503001280.pdf,Table2,200 Hz also positive but weaker than 400 Hz. Aligns with Lorentzian tail.
CornRoot_200Hz,Corn Root 100-300 Hz,corn,seedling,well_watered,corn,200.0,24.0,yes,,,,sweep,phonotropism_angle,degrees,,,,positive,0.05,yes,no,insufficient,low,verified_pdf,VIGOR,PMC5797535,,Gagliano 2012. Roots bend toward 200 Hz sound. Midpoint 200 Hz. Cross-species discount 0.6. Concordant mechanotropism.
Jeong2008_250Hz,Jeong et al. 2008,rice,seedling,drought,rice,250.0,67.5,yes,1.0,1.0,,pure_tone,drought_stress_genes,relative,,,,>0,0.05,yes,no,partial,medium,verified_pdf,DROUGHT_TOLERANCE,PMC7671032,,Midpoint 67.5 dB. Induced drought stress gene prep pathway.
Jeong2014_RWC_250Hz,Jeong et al. 2014,rice,vegetative,drought,rice_Dongjin,250.0,100.0,yes,1.0,1.0,,pure_tone,relative_water_content,pct,62,65,4.8,,0.05,yes,yes,full,high,verified_pdf,DROUGHT_TOLERANCE,SOUND-FREQUENCIES-INDUCE-DROUGHT-TOLERANCE.pdf,Fig1,SPL=100 dB (stated in methods). 1h treatment then 5 days drought. PDF verified. 0.8 kHz peak RWC.
Jeong2014_gsw_250Hz,Jeong et al. 2014,rice,vegetative,drought,rice_Dongjin,250.0,100.0,yes,1.0,1.0,,pure_tone,stomatal_conductance_drought,mmol_m-2_s-1,28,30,7.1,,0.05,yes,yes,full,high,verified_pdf,DROUGHT_TOLERANCE,SOUND-FREQUENCIES-INDUCE-DROUGHT-TOLERANCE.pdf,Fig3,1.5 kHz peak stomatal conductance under drought. Linear increase trend confirmed in text.
Munasinghe2023,Munasinghe et al. 2023,rice,vegetative,normal_irrigation,rice_MR219,350.0,,no,,,,pure_tone,intrinsic_water_use_efficiency,ratio,,,,positive,0.05,yes,no,partial,low,verified_pdf,WATER_STATUS,JTAS-2528-2022.pdf,,SPL missing - distance-based study; iWUE improvement at 350 Hz. Weak evidence flag retained.
Jusoh2023_A400_350Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,350.0,60.0,yes,4.0,30.0,4.0,pure_tone,photosynthesis_rate,umol_CO2_m-2_s-1,12.48,17.9,43.4,,0.05,yes,yes,full,high,verified_pdf,PHOTOSYNTHESIS,05-JTAS-2528-2022.pdf,Fig4a/Table1,Distance 400cm from speaker. Mozart instrumental. 4h/day every other day. Peak photosynthesis treatment.
Jusoh2023_gsw_350Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,350.0,60.0,yes,4.0,30.0,,pure_tone,stomatal_conductance,mol_H2O_m-2_s-1,0.37,0.65,75.7,,0.05,yes,yes,full,high,verified_pdf,WATER_STATUS,05-JTAS-2528-2022.pdf,Fig4b,gsw from LICOR-6400XT on leaf 5 mid-region. Low gsw at 353/359 Hz drives high iWUE.
Jusoh2023_iWUE_350Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,350.0,60.0,yes,4.0,30.0,,pure_tone,intrinsic_water_use_efficiency,umol_CO2_mol-1_H2O,37.3,28.0,-24.9,,0.05,yes,yes,full,high,verified_pdf,WATER_STATUS,05-JTAS-2528-2022.pdf,Fig4c,iWUE = A400/gsw. 359 Hz gives peak iWUE (+62.7%) - best drought-tolerance proxy in dataset.
Jusoh2023_height_350Hz,Jusoh & Ramlee 2023,rice,seedling,normal_irrigation,rice_MR219,350.0,60.0,yes,4.0,30.0,,pure_tone,plant_height,cm,36,40,11.1,,0.05,yes,yes,full,high,verified_pdf,VIGOR,05-JTAS-2528-2022.pdf,Fig3a,357 Hz highest plant height (+21%). Control ~36cm.
